BookID,Title,Subtitle,OriginallyPublished,PublisherID,IsRead,IsReference,IsOwned,ISBN,LoaneeFirst,LoaneeLast,Dewey,Pages,Width,Height,Depth,Weight,PrimaryLanguage,SecondaryLanguage,OriginalLanguage,Series,Volume,Format,Edition,ImageURL,IsReading,IsShipping,SpineColor,CheapestNew,CheapestUsed,EditionPublished,PublisherID,Publisher,City,State,Country,ParentCompany
12938,The Threat,,1998-01-01T00:00:00Z,19371,1,0,1,9780590762540,,,FIC,178,13,198,134,4.59,English,,English,Animorphs,21.00,Paperback,1,res/bookimages/12938.jpg,0,0,#606048,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12939,The Solution,,1998-01-01T00:00:00Z,19371,1,0,1,9780590762557,,,FIC,178,13,198,134,4.62,English,,English,Animorphs,22.00,Paperback,1,res/bookimages/12939.jpg,0,0,#181818,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12940,The Pretender,,1998-01-01T00:00:00Z,19371,1,0,1,9780590762564,,,FIC,178,13,198,134,4.69,English,,English,Animorphs,23.00,Paperback,1,res/bookimages/12940.jpg,0,0,#604848,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12941,The Suspicion,,1998-01-01T00:00:00Z,19371,1,0,1,9780590762571,,,FIC,178,12,198,134,4.55,English,,English,Animorphs,24.00,Paperback,1,res/bookimages/12941.jpg,0,0,#303030,99999999.99,99999999.99,1998-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12942,The Extreme,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762588,,,FIC,162,12,198,134,4.23,English,,English,Animorphs,25.00,Paperback,1,res/bookimages/12942.jpg,0,0,#303030,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12943,The Attack,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762595,,,FIC,162,12,198,134,4.20,English,,English,Animorphs,26.00,Paperback,1,res/bookimages/12943.jpg,0,0,#304848,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12944,The Exposed,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762601,,,FIC,178,13,198,134,4.59,English,,English,Animorphs,27.00,Paperback,1,res/bookimages/12944.jpg,0,0,#4890a8,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12945,The Experiment,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762618,,,FIC,162,12,198,134,4.27,English,,English,Animorphs,28.00,Paperback,1,res/bookimages/12945.jpg,0,0,#181818,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12946,The Sickness,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762625,,,FIC,178,14,198,134,4.59,English,,English,Animorphs,29.00,Paperback,1,res/bookimages/12946.jpg,0,0,#303030,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12947,The Reunion,,1999-01-01T00:00:00Z,19371,1,0,1,9780590762632,,,FIC,178,14,198,134,4.62,English,,English,Animorphs,30.00,Paperback,1,res/bookimages/12947.jpg,0,0,#181818,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12948,The Conspiracy,,1999-01-01T00:00:00Z,19371,1,0,1,9780439070317,,,FIC,162,13,198,134,4.30,English,,English,Animorphs,31.00,Paperback,1,res/bookimages/12948.jpg,0,0,#60a848,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
