BookID,FirstName,MiddleNames,LastName,Role
13124,Tim,F,LaHaye,Author
13124,Jerry,B,Jenkins,Author
13125,Tim,F,LaHaye,Author
13125,Jerry,B,Jenkins,Author
13126,Tim,F,LaHaye,Author
13126,Jerry,B,Jenkins,Author
13127,Tim,F,LaHaye,Author
13127,Jerry,B,Jenkins,Author
13128,Tim,F,LaHaye,Author
13128,Jerry,B,Jenkins,Author
13129,Tim,F,LaHaye,Author
13129,Jerry,B,Jenkins,Author
13130,Tim,F,LaHaye,Author
13130,Jerry,B,Jenkins,Author
13131,Tim,F,LaHaye,Author
13131,Jerry,B,Jenkins,Author
13132,Tim,F,LaHaye,Author
13132,Jerry,B,Jenkins,Author
13133,Tim,F,LaHaye,Author
13133,Jerry,B,Jenkins,Author
13134,Tim,F,LaHaye,Author
13134,Jerry,B,Jenkins,Author
13135,Tim,F,LaHaye,Author
13135,Jerry,B,Jenkins,Author
13136,Tim,F,LaHaye,Author
13136,Jerry,B,Jenkins,Author
13137,Tim,F,LaHaye,Author
13137,Jerry,B,Jenkins,Author
13138,Tim,F,LaHaye,Author
13138,Jerry,B,Jenkins,Author
13139,Lucilla,,Burn,Author
13140,Henrietta,,McCall,Author
13141,R,I,Page,Author
13142,William,H,Race,Translator
13142,Apollonius,,Rhodius,Author
13143,Horace,,White,Translator
13143,,,Appian,Author
13144,Horace,,White,Translator
13144,,,Appian,Author
13145,Horace,,White,Translator
13145,,,Appian,Author
13146,Horace,,White,Translator
13146,,,Appian,Author
13147,F,W,Cornish,Translator
13147,J,W,Mackail,Translator
13147,J,P,Postgate,Translator
13147,,,Catullus,Author
13147,,,Tibullus,Author
13148,D,"R,Shackleton",Bailey,Translator
13148,,,Cicero,Author
13149,D,"R,Shackleton",Bailey,Translator
13149,,,Cicero,Author
13150,,Euripides,Euripides,Author
13150,David,,Kovaks,Translator
13151,,Euripides,Euripides,Author
13151,David,,Kovaks,Translator
13152,,Euripides,Euripides,Author
13152,David,,Kovaks,Translator
13153,,Euripides,Euripides,Author
13153,David,,Kovaks,Translator
13154,Wilmer,C,Wright,Translator
13154,,Julian,Julian,Author
13155,,,Lucian,Author
13155,A,M,Harmon,Translator
13156,,,Petronius,Author
13156,,,Seneca,Author
13156,Michael,,Heseltine,Translator
13156,W,"H,D",Rouse,Translator
13157,Christopher,P,Jones,Translator
13157,,,Philostratus,Author
13158,Christopher,P,Jones,Translator
13158,,,Philostratus,Author
13159,,,Propertius,Author
13159,G,P,Goold,Translator
13160,A,S,Way,Translator
13160,Quintus,,Smyrnaeus,Author
13161,Hugh,,Lloyd-Jones,Translator
13161,,,Sophocles,Author
13162,,,Augustine,Author
13162,William,,Watts,Translator
13163,W,,Peterson,Translator
13163,,,Tacitus,Author
13163,M,,Hutton,Translator
13164,,,Plato,Author
13164,Harold,North,Fowler,Translator
13165,Glenn,W,Most,Translator
13165,,,Hesiod,Author
13166,H,,Rackham,Translator
13166,,,Aristotle,Author
13167,Susanna,Morton,Braund,Translator
13167,,,Juvenal,Author
13167,,,Persius,Author
13168,C,F,Smith,Translator
13168,,,Thudydides,Author
13169,C,F,Smith,Translator
13169,,,Thudydides,Author
13170,A,D,Godley,Translator
