log: 2020/12/24 00:10:24 testsvg.go:34: Creating the database
log: 2020/12/24 00:10:24 testsvg.go:41: Pinging the database
log: 2020/12/24 00:10:24 testsvg.go:168: (#ECD5BC): 217.000000 - 13608
log: 2020/12/24 00:10:24 testsvg.go:168: (#868583): 133.000000 - 20549
log: 2020/12/24 00:10:24 testsvg.go:168: (#312B1D): 43.000000 - 16613
log: 2020/12/24 00:10:24 testsvg.go:168: (#6F5437): 89.000000 - 20149
log: 2020/12/24 00:10:24 testsvg.go:168: (#E4DFD9): 224.000000 - 21413
log: 2020/12/24 00:10:24 testsvg.go:168: (#928571): 135.000000 - 21415
log: 2020/12/24 00:10:24 testsvg.go:168: (#D7AF80): 182.000000 - 21416
log: 2020/12/24 00:10:24 testsvg.go:168: (#F8FCF8): 250.000000 - 16610
log: 2020/12/24 00:10:24 testsvg.go:168: (#E0D0C0): 211.000000 - 21023
log: 2020/12/24 00:10:24 testsvg.go:168: (#C16333): 122.000000 - 20526
log: 2020/12/24 00:10:24 testsvg.go:168: (#E3E6EA): 230.000000 - 13809
log: 2020/12/24 00:10:24 testsvg.go:168: (#1C1912): 25.000000 - 13398
log: 2020/12/24 00:10:24 testsvg.go:168: (#131D9B): 40.000000 - 13767
log: 2020/12/24 00:10:24 testsvg.go:168: (#C12190): 93.000000 - 13511
log: 2020/12/24 00:10:24 testsvg.go:168: (#39393F): 58.000000 - 20159
log: 2020/12/24 00:10:24 testsvg.go:168: (#F8B534): 186.000000 - 20500
log: 2020/12/24 00:10:24 testsvg.go:168: (#C03C25): 97.000000 - 13673
log: 2020/12/24 00:10:24 testsvg.go:168: (#264B48): 64.000000 - 21630
log: 2020/12/24 00:10:24 testsvg.go:168: (#A3A2A7): 163.000000 - 20991
log: 2020/12/24 00:10:24 testsvg.go:168: (#EE6820): 136.000000 - 13768
log: 2020/12/24 00:10:24 testsvg.go:168: (#DC5634): 122.000000 - 16493
log: 2020/12/24 00:10:24 testsvg.go:168: (#F5F9F3): 247.000000 - 16332
log: 2020/12/24 00:10:24 testsvg.go:168: (#F42D14): 102.000000 - 20750
log: 2020/12/24 00:10:24 testsvg.go:168: (#ED7B1C): 146.000000 - 20520
log: 2020/12/24 00:10:24 testsvg.go:168: (#233FC3): 70.000000 - 20508
log: 2020/12/24 00:10:24 testsvg.go:168: (#A15918): 103.000000 - 20513
log: 2020/12/24 00:10:24 testsvg.go:168: (#739630): 128.000000 - 13774
log: 2020/12/24 00:10:24 testsvg.go:168: (#7A7489): 120.000000 - 14191
log: 2020/12/24 00:10:24 testsvg.go:168: (#F2E9CA): 232.000000 - 21423
log: 2020/12/24 00:10:24 testsvg.go:168: (#D8D1CF): 211.000000 - 14221
log: 2020/12/24 00:10:24 testsvg.go:168: (#DDDED5): 221.000000 - 14198
